"","FTHG","FTAG"
"1",1,0
"2",1,0
"3",2,3
"4",2,2
"5",1,1
"6",0,0
"7",2,0
"8",0,3
"9",1,0
"10",0,1
"11",2,1
"12",3,0
"13",0,2
"14",1,0
"15",1,5
"16",2,2
"17",0,1
"18",0,1
"19",0,1
"20",2,2
"21",1,2
"22",5,0
"23",1,1
"24",3,0
"25",0,0
"26",2,0
"27",1,0
"28",2,4
"29",3,1
"30",1,3
"31",1,0
"32",1,0
"33",2,1
"34",1,2
"35",1,1
"36",0,3
"37",0,1
"38",1,0
"39",1,3
"40",2,1
"41",6,1
"42",5,0
"43",1,2
"44",1,0
"45",0,0
"46",0,1
"47",1,0
"48",1,1
"49",3,0
"50",0,0
"51",1,2
"52",2,0
"53",0,3
"54",3,3
"55",0,4
"56",4,1
"57",4,0
"58",0,2
"59",2,3
"60",4,0
"61",3,3
"62",2,1
"63",0,0
"64",0,2
"65",2,0
"66",3,0
"67",2,0
"68",4,4
"69",3,2
"70",3,0
"71",0,0
"72",0,2
"73",1,0
"74",1,1
"75",1,2
"76",3,6
"77",0,0
"78",1,2
"79",0,2
"80",2,5
"81",2,0
"82",2,0
"83",1,1
"84",4,0
"85",0,1
"86",1,0
"87",3,0
"88",4,0
"89",1,2
"90",1,1
"91",1,2
"92",0,2
"93",1,1
"94",2,1
"95",2,2
"96",2,1
"97",2,1
"98",2,1
"99",1,0
"100",1,3
"101",2,2
"102",1,0
"103",2,1
"104",0,1
"105",3,0
"106",3,1
"107",1,2
"108",3,0
"109",3,1
"110",2,0
"111",1,1
"112",0,0
"113",4,1
"114",0,3
"115",2,1
"116",1,1
"117",0,2
"118",0,2
"119",3,2
"120",5,0
"121",1,0
"122",1,2
"123",2,2
"124",0,5
"125",3,2
"126",2,2
"127",2,2
"128",1,1
"129",2,3
"130",1,0
"131",0,0
"132",0,0
"133",2,1
"134",2,2
"135",2,0
"136",3,1
"137",1,0
"138",1,0
"139",3,1
"140",2,3
"141",2,0
"142",0,0
"143",1,0
"144",5,0
"145",2,1
"146",0,1
"147",1,2
"148",0,2
"149",0,2
"150",0,1
"151",0,0
"152",0,0
"153",1,0
"154",2,1
"155",4,0
"156",0,1
"157",1,0
"158",2,2
"159",0,2
"160",0,0
"161",2,0
"162",3,1
"163",1,0
"164",4,1
"165",0,2
"166",1,0
"167",1,3
"168",0,3
"169",0,1
"170",2,0
"171",1,2
"172",3,5
