"","Num_Ap","Capital"
"1",1,50630
"2",2,49630
"3",3,48630
"4",4,49600
"5",5,50480
"6",6,51170
"7",7,51850
"8",8,50850
"9",9,51850
"10",10,52460
"11",11,53130
"12",12,52130
"13",13,51130
"14",14,51770
"15",15,50770
"16",16,49770
"17",17,48770
"18",18,49530
"19",19,50260
"20",20,49260
"21",21,50010
"22",22,50980
"23",23,49980
"24",24,50760
"25",25,51580
"26",26,50580
"27",27,51190
"28",28,50190
"29",29,49190
"30",30,49860
"31",31,50710
"32",32,49710
"33",33,48710
"34",34,49400
"35",35,48400
"36",36,47400
"37",37,46400
"38",38,46970
"39",39,45970
"40",40,46550
"41",41,47350
"42",42,46350
"43",43,47040
"44",44,47620
"45",45,48430
"46",46,47430
"47",47,46430
"48",48,45430
"49",49,44430
"50",50,43430
"51",51,42430
"52",52,43590
"53",53,44160
"54",54,43160
"55",55,42160
"56",56,42890
"57",57,41890
"58",58,40890
"59",59,39890
"60",60,40510
"61",61,41590
"62",62,42510
"63",63,43250
"64",64,44260
"65",65,44990
"66",66,43990
"67",67,42990
"68",68,43910
"69",69,42910
"70",70,43510
"71",71,42510
"72",72,43290
"73",73,43860
"74",74,45040
"75",75,46160
"76",76,45160
"77",77,45780
"78",78,44780
"79",79,43780
"80",80,42780
"81",81,43420
"82",82,42420
"83",83,41420
"84",84,40420
"85",85,41200
"86",86,40200
"87",87,40980
"88",88,39980
"89",89,38980
"90",90,39810
"91",91,38810
"92",92,39430
"93",93,40050
"94",94,39050
"95",95,38050
"96",96,38730
"97",97,39830
"98",98,40630
"99",99,41200
"100",100,41850
"101",101,42420
"102",102,43400
"103",103,44310
"104",104,45410
"105",105,46260
"106",106,45260
"107",107,45880
"108",108,44880
"109",109,43880
"110",110,44660
"111",111,43660
"112",112,42660
"113",113,41660
"114",114,42250
"115",115,41250
"116",116,42280
"117",117,43030
"118",118,43760
"119",119,44490
"120",120,45110
"121",121,44110
"122",122,44910
"123",123,45610
"124",124,44610
"125",125,45470
"126",126,44470
"127",127,45200
"128",128,46150
"129",129,47010
"130",130,47680
"131",131,48480
"132",132,47480
"133",133,48430
"134",134,47430
"135",135,48350
"136",136,49220
"137",137,50140
"138",138,49140
"139",139,48140
"140",140,48930
"141",141,47930
"142",142,48630
"143",143,47630
"144",144,46630
"145",145,45630
"146",146,46520
"147",147,45520
"148",148,44520
"149",149,43520
"150",150,44550
"151",151,43550
"152",152,44170
"153",153,44930
"154",154,43930
"155",155,42930
"156",156,43550
"157",157,44510
"158",158,45530
"159",159,46550
"160",160,45550
"161",161,44550
"162",162,43550
"163",163,44550
"164",164,43550
"165",165,44300
"166",166,43300
"167",167,44120
"168",168,44720
"169",169,45380
"170",170,46130
"171",171,47080
"172",172,46080
"173",173,45080
"174",174,46000
"175",175,46850
"176",176,45850
"177",177,46510
"178",178,45510
"179",179,44510
"180",180,43510
"181",181,42510
"182",182,41510
"183",183,40510
"184",184,39510
"185",185,40360
"186",186,41200
"187",187,42070
"188",188,41070
"189",189,40070
"190",190,40990
"191",191,41770
"192",192,40770
"193",193,39770
"194",194,40580
"195",195,41580
"196",196,42490
"197",197,41490
"198",198,40490
"199",199,39490
"200",200,38490
"201",201,39330
"202",202,40030
"203",203,39030
"204",204,38030
"205",205,37030
"206",206,36030
"207",207,36720
"208",208,37630
"209",209,38580
"210",210,37580
"211",211,38280
"212",212,39100
"213",213,38100
"214",214,38850
"215",215,37850
"216",216,36850
"217",217,37590
"218",218,38460
"219",219,39520
"220",220,40270
"221",221,39270
"222",222,40170
"223",223,40750
"224",224,39750
"225",225,38750
"226",226,39710
"227",227,40730
"228",228,41880
"229",229,40880
"230",230,41500
"231",231,40500
"232",232,39500
"233",233,38500
"234",234,37500
"235",235,36500
"236",236,35500
"237",237,34500
"238",238,33500
"239",239,32500
"240",240,31500
"241",241,32100
"242",242,31100
"243",243,31670
"244",244,32380
"245",245,31380
"246",246,30380
"247",247,31380
"248",248,32110
"249",249,31110
"250",250,31960
"251",251,32980
"252",252,31980
"253",253,32820
"254",254,31820
"255",255,32590
"256",256,33650
"257",257,34410
"258",258,35390
"259",259,36140
"260",260,37090
"261",261,36090
"262",262,36850
"263",263,35850
"264",264,36730
"265",265,35730
"266",266,36490
"267",267,35490
"268",268,36190
"269",269,36770
"270",270,37620
"271",271,38460
"272",272,37460
"273",273,36460
"274",274,37320
"275",275,36320
"276",276,35320
"277",277,36070
"278",278,35070
"279",279,34070
