"","Num_Ap","Capital"
"1",1,49000
"2",2,49900
"3",3,50660
"4",4,51290
"5",5,51860
"6",6,50860
"7",7,51790
"8",8,52360
"9",9,51360
"10",10,50360
"11",11,50950
"12",12,49950
"13",13,48950
"14",14,47950
"15",15,48620
"16",16,49220
"17",17,48220
"18",18,49110
"19",19,48110
"20",20,48870
"21",21,47870
"22",22,46870
"23",23,47450
"24",24,48220
"25",25,47220
"26",26,46220
"27",27,46820
"28",28,45820
"29",29,44820
"30",30,43820
"31",31,42820
"32",32,43580
"33",33,44190
"34",34,44920
"35",35,43920
"36",36,42920
"37",37,41920
"38",38,40920
"39",39,39920
"40",40,38920
"41",41,39990
"42",42,38990
"43",43,39670
"44",44,38670
"45",45,37670
"46",46,36670
"47",47,37680
"48",48,38550
"49",49,39230
"50",50,40180
"51",51,40820
"52",52,41680
"53",53,40680
"54",54,39680
"55",55,40740
"56",56,41750
"57",57,40750
"58",58,39750
"59",59,38750
"60",60,37750
"61",61,38320
"62",62,37320
"63",63,36320
"64",64,35320
"65",65,34320
"66",66,35040
"67",67,34040
"68",68,33040
"69",69,33780
"70",70,32780
"71",71,33380
"72",72,34400
"73",73,35300
"74",74,36100
"75",75,37110
"76",76,37880
"77",77,36880
"78",78,35880
"79",79,34880
"80",80,33880
"81",81,32880
"82",82,31880
"83",83,32830
"84",84,33480
"85",85,32480
"86",86,33200
"87",87,33840
"88",88,34630
"89",89,33630
"90",90,34300
"91",91,35180
"92",92,35970
"93",93,36580
"94",94,37300
"95",95,36300
"96",96,37190
"97",97,36190
"98",98,37000
"99",99,37860
"100",100,36860
"101",101,35860
"102",102,36570
"103",103,35570
"104",104,36200
"105",105,35200
"106",106,34200
"107",107,33200
"108",108,34010
"109",109,33010
"110",110,32010
"111",111,31010
"112",112,31940
"113",113,30940
"114",114,31630
"115",115,30630
"116",116,29630
"117",117,30500
"118",118,31420
"119",119,32360
"120",120,31360
"121",121,30360
"122",122,31290
"123",123,30290
"124",124,30980
"125",125,29980
"126",126,30680
"127",127,31280
"128",128,32120
"129",129,31120
"130",130,30120
"131",131,30900
"132",132,31660
"133",133,30660
"134",134,31270
"135",135,30270
"136",136,29270
"137",137,28270
"138",138,27270
"139",139,28000
"140",140,28780
"141",141,29540
"142",142,28540
"143",143,29390
"144",144,28390
"145",145,27390
"146",146,28120
"147",147,29040
"148",148,29850
"149",149,28850
"150",150,27850
"151",151,26850
"152",152,25850
"153",153,26610
"154",154,27250
"155",155,26250
"156",156,25250
"157",157,24250
"158",158,24880
"159",159,25690
"160",160,26550
"161",161,25550
"162",162,26190
"163",163,26950
"164",164,25950
"165",165,24950
"166",166,25730
"167",167,26700
"168",168,25700
"169",169,26520
"170",170,25520
"171",171,26390
"172",172,27310
"173",173,28350
"174",174,28920
"175",175,27920
"176",176,26920
"177",177,25920
"178",178,24920
"179",179,23920
"180",180,22920
"181",181,21920
"182",182,20920
"183",183,19920
"184",184,20550
"185",185,19550
"186",186,18550
"187",187,19470
"188",188,18470
"189",189,19400
"190",190,20150
"191",191,19150
"192",192,20120
"193",193,21000
"194",194,21670
"195",195,22510
"196",196,21510
"197",197,20510
"198",198,21320
"199",199,20320
"200",200,20950
"201",201,21710
"202",202,22470
"203",203,21470
"204",204,20470
"205",205,21260
"206",206,20260
"207",207,19260
"208",208,18260
"209",209,17260
"210",210,18020
"211",211,18830
"212",212,19610
"213",213,20470
"214",214,21180
"215",215,20180
"216",216,21130
"217",217,20130
"218",218,21150
"219",219,21770
"220",220,22370
"221",221,23130
"222",222,22130
"223",223,23110
"224",224,23840
"225",225,22840
"226",226,21840
"227",227,20840
"228",228,19840
"229",229,20850
"230",230,19850
"231",231,18850
"232",232,17850
"233",233,18660
"234",234,19710
"235",235,18710
"236",236,19480
"237",237,18480
"238",238,19530
"239",239,18530
"240",240,17530
"241",241,16530
"242",242,17270
"243",243,18120
"244",244,17120
"245",245,17900
"246",246,18750
"247",247,19510
"248",248,18510
"249",249,19350
"250",250,18350
"251",251,19000
"252",252,19860
"253",253,20650
"254",254,21450
"255",255,22520
"256",256,23170
"257",257,22170
"258",258,21170
"259",259,21960
"260",260,22800
"261",261,21800
"262",262,22560
"263",263,23670
"264",264,22670
"265",265,23270
"266",266,24010
"267",267,23010
"268",268,23590
"269",269,22590
"270",270,23350
"271",271,24070
"272",272,24680
"273",273,25380
"274",274,26210
"275",275,25210
"276",276,25960
"277",277,24960
"278",278,25730
"279",279,26480
"280",280,27310
"281",281,28040
"282",282,28650
"283",283,29580
"284",284,28580
"285",285,27580
"286",286,26580
"287",287,25580
"288",288,26670
"289",289,25670
"290",290,24670
"291",291,25540
"292",292,26550
"293",293,27210
"294",294,26210
"295",295,26840
"296",296,27620
"297",297,28210
"298",298,27210
"299",299,28060
"300",300,28880
"301",301,29580
"302",302,30320
"303",303,29320
"304",304,29960
"305",305,30550
"306",306,31290
"307",307,30290
"308",308,29290
"309",309,30310
"310",310,31270
"311",311,30270
"312",312,30850
"313",313,31710
"314",314,32490
"315",315,33160
"316",316,33900
"317",317,34590
"318",318,35300
"319",319,34300
"320",320,33300
"321",321,32300
"322",322,31300
"323",323,30300
"324",324,30940
"325",325,29940
"326",326,28940
"327",327,27940
"328",328,28850
"329",329,29430
"330",330,28430
"331",331,27430
"332",332,26430
"333",333,27060
"334",334,26060
"335",335,25060
"336",336,25870
"337",337,26670
"338",338,25670
"339",339,24670
"340",340,23670
"341",341,22670
"342",342,21670
"343",343,22570
"344",344,23150
"345",345,22150
"346",346,22840
"347",347,21840
"348",348,22750
"349",349,23810
"350",350,22810
"351",351,23570
"352",352,24560
"353",353,23560
"354",354,24300
"355",355,23300
"356",356,24310
"357",357,25340
"358",358,24340
"359",359,23340
"360",360,24130
"361",361,23130
"362",362,23980
"363",363,24880
"364",364,25760
"365",365,24760
"366",366,23760
"367",367,24510
"368",368,25270
"369",369,24270
"370",370,23270
"371",371,22270
"372",372,21270
"373",373,20270
"374",374,21110
"375",375,21960
"376",376,22790
"377",377,21790
"378",378,20790
"379",379,21760
"380",380,22650
"381",381,24780
"382",382,25680
"383",383,24680
"384",384,25640
"385",385,26520
"386",386,27530
"387",387,28250
"388",388,29630
"389",389,30410
"390",390,31240
"391",391,30240
"392",392,29240
"393",393,28240
"394",394,28950
"395",395,27950
"396",396,28580
"397",397,29290
"398",398,30430
"399",399,31250
"400",400,31870
"401",401,32710
"402",402,31710
"403",403,32410
"404",404,31410
"405",405,32160
"406",406,31160
"407",407,31810
"408",408,32680
"409",409,31680
"410",410,30680
"411",411,29680
"412",412,28680
"413",413,29660
"414",414,30330
"415",415,30900
"416",416,31850
"417",417,32720
"418",418,33390
"419",419,32390
"420",420,31390
"421",421,32070
"422",422,31070
"423",423,30070
"424",424,30710
"425",425,31490
"426",426,32870
"427",427,31870
"428",428,32490
"429",429,33340
"430",430,32340
"431",431,33590
"432",432,32590
"433",433,33360
"434",434,32360
"435",435,31360
"436",436,32060
"437",437,31060
"438",438,30060
"439",439,31150
"440",440,32440
"441",441,31440
"442",442,32380
"443",443,31380
"444",444,32010
"445",445,33800
"446",446,34440
"447",447,35350
"448",448,34350
"449",449,33350
"450",450,34090
"451",451,33090
"452",452,32090
"453",453,31090
"454",454,31930
"455",455,32650
"456",456,33380
"457",457,34000
"458",458,34920
"459",459,33920
"460",460,34640
"461",461,35230
"462",462,36050
"463",463,35050
"464",464,35830
"465",465,34830
"466",466,33830
"467",467,32830
"468",468,31830
"469",469,30830
"470",470,29830
"471",471,28830
"472",472,29640
"473",473,30430
"474",474,29430
"475",475,28430
"476",476,29270
"477",477,29840
"478",478,28840
"479",479,29620
"480",480,30310
